CSCO	 =>	0.007999999999999386
UNH	 =>	0.05665833036721111
HD	 =>	0.03822907793813261
BA	 =>	0.04813481068830623
V	 =>	0.003130750708692
MMM	 =>	0.03187475490101443
INTC	 =>	0.001734819875374546
NKE	 =>	0.033606761224493485
IBM	 =>	0.03257977286599357
AXP	 =>	0.025593749236875456
AAPL	 =>	0.01586619046904379
VZ	 =>	0.008575220113794201
GS	 =>	0.07912421626784182
CAT	 =>	0.045763321557770034
MSFT	 =>	0.007999999999999651
CVX	 =>	0.02528243659143754
JPM	 =>	0.01935049353375809
WMT	 =>	0.012649110640674371
TRV	 =>	0.02355745317304087
PFE	 =>	0.005999999999999753
DD	 =>	0.007406321624123639
GE	 =>	0.04803014053695829
PG	 =>	0.016265300489081265
UTX	 =>	0.006292980216079725
KO	 =>	0.011906300852910801
MRK	 =>	0.018731620325000586
JNJ	 =>	0.017420103329199535
XOM	 =>	0.034875871315279694
MCD	 =>	0.018723247581552124
